code,name,level,group_code,group_name,qualification
"23.02.2007","Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей","college","23.00.00","ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА","Специалист"
"24.02.2001","Производство летательных аппаратов","college","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Техник; Специалист производства летательных аппаратов"
"24.02.2002","Производство авиационных двигателей","college","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Техник; Специалист производства авиационных двигателей"
"24.02.2003","Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655","college","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА",""
"25.02.2001","Техническая эксплуатация летательных аппаратов и двигателей","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Техник; Старший техник"
"25.02.2002","Обслуживание летательных аппаратов горюче-смазочными материалами","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Техник; Старший техник"
"25.02.2003","Техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Техник"
"25.02.2004","Летная эксплуатация летательных аппаратов","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Пилот"
"25.02.2005","Управление движением воздушного транспорта","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Диспетчер"
"25.02.2006","Производство и обслуживание авиационной техники","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Техник по производству авиационной техники; Техник по обслуживанию авиационной техники; Специалист по производству и обслуживанию авиационной техники"
"25.02.2007","Техническое обслуживание авиационных двигателей","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Техник"
"25.02.2008","Эксплуатация беспилотных авиационных систем","college","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Оператор беспилотных летательных аппаратов"
"26.02.2001","Эксплуатация внутренних водных путей","college","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Техник"
"26.02.2002","Судостроение","college","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Техник; Специалист по судостроению"
"26.02.2003","Судовождение","college","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Техник-судоводитель; Старший техник-судоводитель с правом эксплуатации судовых энергетических установок"
"26.02.2004","Монтаж и техническое обслуживание судовых машин и механизмов","college","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Техник"
"26.02.2005","Эксплуатация судовых энергетических установок","college","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Техник-судомеханик; Старший техник-судомеханик"
"26.02.2006","Эксплуатация судового электрооборудования и средств автоматики","college","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Техник-электромеханик"
"27.02.2001","Метрология","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник"
"27.02.2002","Техническое регулирование и управление качеством","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник"
"27.02.2003","Автоматика и телемеханика на транспорте (железнодорожном транспорте)","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник; Старший техник"
"27.02.2004","Автоматические системы управления","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник; Старший техник"
"27.02.2005","Системы и средства диспетчерского управления","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник"
"27.02.2006","Контроль работы измерительных приборов","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник-метролог"
"27.02.2007","Управление качеством продукции, процессов и услуг (по отраслям)","college","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Техник"
"29.02.2004","Конструирование, моделирование и технология швейных изделий","college","29.00.00","ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ","Технолог-конструктор"
"29.02.2008","Технология обработки алмазов","college","29.00.00","ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ","Техник-технолог; Старший техник-технолог"
