code,name,level,group_code,group_name
"42.03.02","Журналистика","bachelor","42.00.00","СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО"
"42.03.03","Издательское дело","bachelor","42.00.00","СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО"
"42.03.04","Телевидение","bachelor","42.00.00","СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО"
"42.03.05","Медиакоммуникации","bachelor","42.00.00","СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО"
"43.03.01","Сервис","bachelor","43.00.00","СЕРВИС И ТУРИЗМ"
"43.03.02","Туризм","bachelor","43.00.00","СЕРВИС И ТУРИЗМ"
"43.03.03","Гостиничное дело","bachelor","43.00.00","СЕРВИС И ТУРИЗМ"
"44.03.01","Педагогическое образование","bachelor","44.00.00","ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ"
"44.03.02","Психолого-педагогическое образование","bachelor","44.00.00","ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ"
"44.03.03","Специальное (дефектологическое) образование","bachelor","44.00.00","ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ"
"44.03.04","Профессиональное обучение (по отраслям)","bachelor","44.00.00","ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ"
"44.03.05","Педагогическое образование (с двумя профилями подготовки)","bachelor","44.00.00","ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ"
"45.03.01","Филология","bachelor","45.00.00","ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ"
"45.03.02","Лингвистика","bachelor","45.00.00","ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ"
"45.03.03","Фундаментальная и прикладная лингвистика","bachelor","45.00.00","ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ"
"45.03.04","Интеллектуальные системы в гуманитарной сфере","bachelor","45.00.00","ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ"
"46.03.01","История","bachelor","46.00.00","ИСТОРИЯ И АРХЕОЛОГИЯ"
"46.03.02","Документоведение и архивоведение","bachelor","46.00.00","ИСТОРИЯ И АРХЕОЛОГИЯ"
