code,name,level,group_code,group_name,qualification
"24.05.01","Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер"
"24.05.02","Проектирование авиационных и ракетных двигателей","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер"
"24.05.03","Испытание летательных аппаратов","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер"
"24.05.04","Навигационно-баллистическое обеспечение применения космической техники","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер-баллистик"
"24.05.05","Интегрированные системы летательных аппаратов","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер"
"24.05.06","Системы управления летательными аппаратами","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер"
"24.05.07","Самолето- и вертолетостроение","specialist","24.00.00","АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА","Инженер"
"25.05.01","Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей","specialist","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Инженер по эксплуатации летательных аппаратов"
"25.05.02","Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов","specialist","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Инженер по эксплуатации электросистем и электронной автоматики летательных аппаратов"
"25.05.03","Техническая эксплуатация транспортного радиооборудования","specialist","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Инженер"
"25.05.04","Летная эксплуатация и применение авиационных комплексов","specialist","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Инженер по летной эксплуатации летательных аппаратов"
"25.05.05","Эксплуатация воздушных судов и организация воздушного движения","specialist","25.00.00","АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ","Инженер"
"26.05.01","Проектирование и постройка кораблей, судов и объектов океанотехники","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер"
