Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
		Старший техник-механик	
15.02.2002	Техническая эксплуатация оборудования для производства электронной техники	Техник	
		Старший техник	
15.02.2003	"Техническая эксплуатация гидравлических машин, гидроприводов и гидропневмоавтоматики"	Техник	
15.02.2004	Специальные машины и устройства	Техник	
		Старший техник	
15.02.2005	Техническая эксплуатация оборудования в торговле и общественном питании	Техник-механик	
		Старший техник-механик	
15.02.2006	Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок (по отраслям)	Техник	
		Старший техник	
15.02.2007	Автоматизация технологических процессов и производств (по отраслям)	Техник	
		Старший техник	
15.02.2008	Технология машиностроения	Техник	
		Специалист по технологии машиностроения	
